書名,作者,語言,折扣,價格,連結
手術刀般精準的FRM - 用Python科學管控財金風險(實戰篇),塗升  姜偉生  安然  張豐  蘆葦,中文書,9,792,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010948083/page/2/idx/32/cat/001/pdf/1/spell/3
從零開始學Python程式設計(ChatGPT加強版)(適用Python 3.10以上),李馨,中文書,75,585,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010989997/page/2/idx/33/cat/001/pdf/1/spell/3
Python 刷題鍛鍊班：老手都刷過的50道程式題，求職面試最給力(附 Jupyter Notebook / Python Tutor 範例程式及原作者177分鐘線上教學影片),Reuven M. Lerner  施威銘研究室,中文書,95,456,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010888495/page/2/idx/34/cat/001/pdf/1/spell/3
Deep Learning 3：用Python進行深度學習框架的開發實作,斎藤康毅  吳嘉芳,中文書,9,702,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010887759/page/2/idx/35/cat/001/pdf/1/spell/3
高效率Python自動化工作術|快速解決Excel、Word、PDF資料處理,森巧尚  許郁文,中文書,9,468,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010961241/page/2/idx/36/cat/001/pdf/1/spell/3
Object-Oriented Python|以GUI和遊戲程式學物件導向程式設計,Irv Kalb  H&C,中文書,9,468,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010940279/page/2/idx/37/cat/001/pdf/1/spell/3
AI世代高中生也能輕鬆搞懂的運算思維與演算法：使用Python,吳燦銘,中文書,,149,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010878334/page/2/idx/38/cat/001/pdf/1/spell/3
Python遊戲開發講座進階篇|動作射擊與3D賽車,廣瀬豪  吳嘉芳,中文書,9,765,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010912189/page/2/idx/39/cat/001/pdf/1/spell/3
Python技術手冊 第四版,Alex Martelli等  黃銘偉,中文書,9,1080,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010974115/page/2/idx/40/cat/001/pdf/1/spell/3
選擇權交易：使用Python語言,林進益,中文書,,399,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010938757/page/2/idx/41/cat/001/pdf/1/spell/3
AIOT與OpenCV實戰應用(第三版)：Python、樹莓派、物聯網與機器視覺,朱克剛,中文書,9,450,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010909280/page/2/idx/42/cat/001/pdf/1/spell/3
Python機器學習超進化：AI影像辨識跨界應用實戰(附100分鐘影像處理入門影音教學/範例程式),文淵閣工作室  鄧文淵,中文書,9,405,https://search.books.com.tw/redirect/move/key/python/area/mid/item/0010870722/page/2/idx/43/cat/001/pdf/1/spell/3
